model,press_name,pretty_name,query_aware,configured_ratio,achieved_ratio,score_macro13,niah_single_1,niah_single_2,niah_single_3,niah_multikey_1,niah_multikey_2,niah_multikey_3,niah_multiquery,niah_multivalue,vt,cwe,fwe,qa_1,qa_2,press_init_command
Qwen/Qwen3-8B,adakv_compactor,AdaKVCompactor,False,0.25,0.25,94.59,100.0,100.0,99.8,100.0,99.4,95.0,100.0,99.95,100.0,98.42,95.13,80.0,62.0,"AdaKVPress(press=CompactorPress(compression_ratio=0.25, sink_size_start=8, sink_size_end=4, chunk_size=256, sketch_dimension=48, blending=None, _leverage_press=LeverageScorePress(compression_ratio=0.25, sketch_dimension=48), _non_causal_press=NonCausalAttnPress(compression_ratio=0.25, chunk_size=256)), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,adakv_compactor,AdaKVCompactor,False,0.5,0.5,92.35,100.0,100.0,99.4,99.2,91.2,85.8,99.8,99.8,100.0,96.3,93.87,76.8,58.4,"AdaKVPress(press=CompactorPress(compression_ratio=0.5, sink_size_start=8, sink_size_end=4, chunk_size=256, sketch_dimension=48, blending=None, _leverage_press=LeverageScorePress(compression_ratio=0.5, sketch_dimension=48), _non_causal_press=NonCausalAttnPress(compression_ratio=0.5, chunk_size=256)), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,adakv_compactor,AdaKVCompactor,False,0.75,0.75,76.47,100.0,100.0,95.6,90.4,31.0,0.8,95.55,97.5,100.0,84.82,90.07,60.0,48.4,"AdaKVPress(press=CompactorPress(compression_ratio=0.75, sink_size_start=8, sink_size_end=4, chunk_size=256, sketch_dimension=48, blending=None, _leverage_press=LeverageScorePress(compression_ratio=0.75, sketch_dimension=48), _non_causal_press=NonCausalAttnPress(compression_ratio=0.75, chunk_size=256)), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,adakv_compactor,AdaKVCompactor,False,0.875,0.875,55.06,100.0,95.2,59.8,40.0,1.8,0.0,42.45,57.3,100.0,57.2,81.0,45.2,35.8,"AdaKVPress(press=CompactorPress(compression_ratio=0.875, sink_size_start=8, sink_size_end=4, chunk_size=256, sketch_dimension=48, blending=None, _leverage_press=LeverageScorePress(compression_ratio=0.875, sketch_dimension=48), _non_causal_press=NonCausalAttnPress(compression_ratio=0.875, chunk_size=256)), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,adakv_snapkv,AdaSnapKV,True,0.25,0.25,95.25,100.0,100.0,99.2,100.0,100.0,100.0,100.0,99.95,100.0,98.98,95.53,81.6,63.0,"AdaKVPress(press=SnapKVPress(compression_ratio=0.25, window_size=64, kernel_size=5), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,adakv_snapkv,AdaSnapKV,True,0.5,0.5,89.85,100.0,100.0,46.2,99.8,97.2,99.8,100.0,89.25,99.8,98.76,94.47,80.6,62.2,"AdaKVPress(press=SnapKVPress(compression_ratio=0.5, window_size=64, kernel_size=5), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,adakv_snapkv,AdaSnapKV,True,0.75,0.75,78.39,100.0,100.0,3.6,98.4,69.4,84.8,99.9,41.35,93.08,96.76,89.6,81.2,61.0,"AdaKVPress(press=SnapKVPress(compression_ratio=0.75, window_size=64, kernel_size=5), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,adakv_snapkv,AdaSnapKV,True,0.875,0.875,57.27,91.6,84.6,2.4,58.2,36.8,17.4,81.05,18.6,61.64,76.64,80.73,76.6,58.2,"AdaKVPress(press=SnapKVPress(compression_ratio=0.875, window_size=64, kernel_size=5), alpha_safeguard=0.2)"
Qwen/Qwen3-8B,chunkkv,ChunkKV,True,0.25,0.25,95.32,100.0,100.0,100.0,100.0,100.0,100.0,99.95,99.95,100.0,99.06,94.8,81.6,63.8,"ChunkKVPress(press=SnapKVPress(compression_ratio=0.25, window_size=64, kernel_size=5), chunk_length=20)"
Qwen/Qwen3-8B,chunkkv,ChunkKV,True,0.5,0.5,94.21,100.0,100.0,96.8,100.0,97.0,99.6,99.95,97.5,99.96,98.0,92.33,80.8,62.8,"ChunkKVPress(press=SnapKVPress(compression_ratio=0.5, window_size=64, kernel_size=5), chunk_length=20)"
